University,Motto,Language,Translation,text,country
"Victoria University, Melbourne",,,,,Australia
University of Western Australia,Seek Wisdom,English,,Seek Wisdom,Australia
Western Sydney University,Unlimited,English,,Unlimited,Australia
The College of The Bahamas,"Knowledge, Truth, Integrity[2]",English,NA,"Knowledge, Truth, Integrity[2]",Bahamas
Bangladesh University of Engineering and Technology,The Ocean of Knowledge,English,,The Ocean of Knowledge,Bangladesh
BRAC University,Inspiring Excellence,English,,Inspiring Excellence,Bangladesh
University of Dhaka,সত্যের জয় সুনিশ্চিত,Bangla,Truth Shall Prevail,Truth Shall Prevail,Bangladesh
Université Libre de Bruxelles,Scientia vincere tenebras,Latin,Conquering darkness by science,Conquering darkness by science,Belgium
Vrije Universiteit Brussel,Scientia vincere tenebras,Latin,Conquering darkness by science,Conquering darkness by science,Belgium
Université catholique de Louvain,Sedes sapientiae,Latin,Seat of wisdom,Seat of wisdom,Belgium
Katholieke Universiteit Leuven,Sedes sapientiae,Latin,Seat of wisdom,Seat of wisdom,Belgium
Ghent University,Inter Utrumque,Latin,In Between Both Extremes,In Between Both Extremes,Belgium
University of Hasselt,Knowledge in Action,English,,Knowledge in Action,Belgium
University of Botswana,Thuto Ke Thebe[3],Setswana,Education is a Shield[3],Education is a Shield[3],Botswana
Universidade de São Paulo,Scientia Vinces,Latin,Through knowledge you win,Through knowledge you win,Brazil
Federal University of Rio de Janeiro,A Universidade do Brasil,Portuguese,The University of Brazil,The University of Brazil,Brazil
Pontifícia Universidade Católica de Campinas,Fide Splendet et Scientia,Latin,May it shine with truth and knowledge,May it shine with truth and knowledge,Brazil
Pontifícia Universidade Católica do Rio de Janeiro,Alis grave nil,Latin,Nothing is too heavy for those who have wings,Nothing is too heavy for those who have wings,Brazil
Pontifícia Universidade Católica do Rio Grande do Sul,Ad verum ducit,Latin,Leading to the truth,Leading to the truth,Brazil
Universidade de Brasília,,,,,Brazil
Universidade Federal Fluminense,"Discere, docere, seminare",Latin,"Learn, teach, spread","Learn, teach, spread",Brazil
Universidade Federal de Minas Gerais,Incipit Vita Nova,Latin,A new life begins,A new life begins,Brazil
Universidade Federal de Uberlândia,Um bem público a serviço do Brasil,Portuguese,A public good in the service of Brazil,A public good in the service of Brazil,Brazil
Universidade Presbiteriana Mackenzie,Tradição e Pioneirismo na Educação,Portuguese,Tradition and pioneering in Education,Tradition and pioneering in Education,Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucuri,Sapientia et Libertas,Latin,Wisdom and Freedom,Wisdom and Freedom,Brazil
Universidade Estadual do Ceará,Lumen Ad Viem,Latin,Enlightening life,Enlightening life,Brazil
Universidade Federal de Alagoas,Scientia ad Sapientiam,Latin,Knowledge for Wisdom,Knowledge for Wisdom,Brazil
Universidade Federal de Viçosa,"Ediscere, Scire, Agere, Vincere",Latin,"Study, Know, Act, Win","Study, Know, Act, Win",Brazil
Acadia University,In pulvere vinces,Latin,"In dust, you conquer","In dust, you conquer",Canada
Bishop's University,Recti cultus pectora roborant,Latin,Sound learning strengthens the spirit,Sound learning strengthens the spirit,Canada
Brandon University,Aletheuontes de en Agape,Greek,Speaking the truth in love,Speaking the truth in love,Canada
Brock University,Surgite!,Latin,Push on!,Push on!,Canada
Cape Breton University,Theid Dìchioll Air Thoiseach,Scottish Gaelic,Perseverance will Triumph,Perseverance will Triumph,Canada
Carleton University,Ours the Task Eternal,English,,Ours the Task Eternal,Canada
Concordia University,"Small planet, Big thinking",English,,"Small planet, Big thinking",Canada
Crandall University,Christus Praeeminens,Latin,Christ is preeminent,Christ is preeminent,Canada
Dalhousie University,Ora et Labora,Latin,Prayer and work,Prayer and work,Canada
École Polytechnique de Montréal,Ut tensio sic vis,Latin,"As the extension, the force","As the extension, the force",Canada
Kwantlen Polytechnic University,Through tireless effort knowledge and understanding,English,Through tireless effort knowledge and understanding,Through tireless effort knowledge and understanding,Canada
Lakehead University,Vos persolvo pro angustus obvius,Latin,Achievement through effort,Achievement through effort,Canada
Laurentian University,Emitte lucem et veritatem,Latin,Send forth thy light and thy truth,Send forth thy light and thy truth,Canada
McGill University,Grandescunt aucta labore,Latin,"By work, all things increase and grow","By work, all things increase and grow",Canada
McMaster University,Τα παντα εν Χριστωι συνεστηκεν,Greek,All things cohere in Christ,All things cohere in Christ,Canada
Memorial University of Newfoundland,Provehito in Altum,Latin,Launch forth into the deep,Launch forth into the deep,Canada
Mount Allison University,"Litterae, Religio, Scientia",Latin,"Writing, Divinity, Knowledge","Writing, Divinity, Knowledge",Canada
Mount Royal University,Quam Bene Non Quantum,Latin,"How well, not how much","How well, not how much",Canada
Mount Saint Vincent University,Veritas ad Deum ducit,Latin,Truth leads to God,Truth leads to God,Canada
Nipissing University,Integritas,Latin,Integrity,Integrity,Canada
Nova Scotia Agricultural College,Mens agitat molem,Latin,mind over matter,mind over matter,Canada
OCAD University,Imagination is Everything.,English,,Imagination is Everything.,Canada
Queen's University,Sapientia et Doctrina Stabilitas,Latin,Wisdom and knowledge shall be the stability of thy times,Wisdom and knowledge shall be the stability of thy times,Canada
Royal Military College of Canada,"Truth, Duty, Valour",English,"French: Vérité, Devoir, Vaillance","Truth, Duty, Valour",Canada
Royal Roads University,Life.Changing,English,,Life.Changing,Canada
Ryerson University,Mente et Artificio,Latin,With mind and hand,With mind and hand,Canada
Saint Francis Xavier University,Quaecumque Sunt Vera,Latin,Whatsoever things are true (Philippians 4:8),Whatsoever things are true (Philippians 4:8),Canada
Saint Mary's University,Age Quod Agis,Latin,"What you do, do well","What you do, do well",Canada
"St. Mary's University College, Calgary",In Lumine Tuo Videbimus Lumen,Latin,In Thy light shall we see light,In Thy light shall we see light,Canada
Simon Fraser University,Nous sommes prêts,French,We are ready,We are ready,Canada
St. Thomas University,Doce Bonitatem Scientiam et Disciplinam,Latin,Teach me Goodness and Knowledge and Discipline,Teach me Goodness and Knowledge and Discipline,Canada
Thompson Rivers University,Quansem Ilep,Secwepemc,To strive ahead,To strive ahead,Canada
Trent University,Nunc cognosco ex parte,Latin,Now I know in part,Now I know in part,Canada
Trinity Western University,Turris Fortis Deus Noster,Latin,A Mighty Fortress Is Our God,A Mighty Fortress Is Our God,Canada
Université de Montréal,Fide splendet et scientia,Latin,May it shine with truth and knowledge,May it shine with truth and knowledge,Canada
Université Laval,Deo favente haud pluribus impar,Latin,"By the grace of God, to no one equal","By the grace of God, to no one equal",Canada
University of Alberta,Quaecumque Vera,Latin,Whatsoever things are true,Whatsoever things are true,Canada
University of British Columbia,Tuum est,Latin,It's up to you or It is yours,It's up to you or It is yours,Canada
University of Calgary,Mo Shùile Togam Suas,Scottish Gaelic,I will lift up my eyes,I will lift up my eyes,Canada
University of Guelph,Rerum cognoscere causas,Latin,To learn the reasons of realities,To learn the reasons of realities,Canada
University of King's College,Deo Legi Regi Gregi,Latin,"For God, Law, King, People","For God, Law, King, People",Canada
University of Lethbridge,Fiat Lux,Latin,Let there be light,Let there be light,Canada
University of Manitoba,Floreat,Latin,"""Flourish"" or ""Prosper""","""Flourish"" or ""Prosper""",Canada
University of New Brunswick,Sapere Aude,Latin,Dare to know / Dare to be wise,Dare to know / Dare to be wise,Canada
University of Northern British Columbia,En Cha Huná,Dakelh language,"literally 'He/she too lives"", figuratively ""Other people have their point of view"")","literally 'He/she too lives"", figuratively ""Other people have their point of view"")",Canada
University of Ontario Institute of Technology,Cogitando et Agendo Ducemus,Latin,"By thinking and doing, we shall lead","By thinking and doing, we shall lead",Canada
University of Ottawa,Deus Scientiarum Dominus Est,Latin,God is the Master of Sciences,God is the Master of Sciences,Canada
University of Prince Edward Island,"Faith, Knowledge, Service",English,,"Faith, Knowledge, Service",Canada
University of Regina,As One Who Serves,English,,As One Who Serves,Canada
University of Saskatchewan,Deo et Patriae,Latin,For God and Country,For God and Country,Canada
Université de Sherbrooke,Veritatem in charitate,Latin,Truth in charity,Truth in charity,Canada
University of Toronto,Velut arbor ævo,Latin,As a Tree Through the Ages,As a Tree Through the Ages,Canada
University of Victoria,יהי אור y'hi or Multitudo sapientium sanitas orbis,HebrewLatin,Let there be lightA multitude of the wise is the health of the world,Let there be lightA multitude of the wise is the health of the world,Canada
University of Waterloo,Concordia cum veritate,Latin,In harmony with truth,In harmony with truth,Canada
University of Western Ontario,Veritas et Utilitas,Latin,Truth and usefulness,Truth and usefulness,Canada
University of Windsor,"Bonitatem, disciplinam, scientiam",Latin,"Goodness, discipline, knowledge","Goodness, discipline, knowledge",Canada
University of Winnipeg,Lux et Veritas Floreant,Latin,Let Light and Truth Flourish,Let Light and Truth Flourish,Canada
Wilfrid Laurier University,Veritas Omnia Vincit,Latin,Truth conquers all,Truth conquers all,Canada
York University,Tentanda via,Latin,The way must be tried,The way must be tried,Canada
Pontifical Catholic University of Chile,In Christi Lumine pro Mundi Vita,Latin,In Christ's light for the world's life,In Christ's light for the world's life,Chile
Pontifical Catholic University of Valparaíso,Fides et Labor,Latin,Faith and work,Faith and work,Chile
Federico Santa María Technical University,Ex Umbra in Solem,Latin,From the shadow into the sun,From the shadow into the sun,Chile
Metropolitan University of Educational Sciences,Veritas Humanitatis Lux,Latin,Truth is the light of mankind,Truth is the light of mankind,Chile
"University of Santiago, Chile",Labor Lætitia Nostra,Latin,Work is our joy,Work is our joy,Chile
Austral University of Chile,Libertas Capitur,Latin,Freedom is conquered,Freedom is conquered,Chile
Beijing Foreign Studies University,兼容并蓄 博学笃行[4],Chinese,,,China
Beijing Normal University,学为人师 行为世范[5],Chinese,"Learn, so as to instruct others; Act, to serve as example to all.[6]","Learn, so as to instruct others; Act, to serve as example to all.[6]",China
Beijing University of Posts and Telecommunications,厚德 博学 敬业 乐群[7],Chinese,"Great Virtue, Profound Knowledge, Total Commitment, Harmonious Cooperation[8]","Great Virtue, Profound Knowledge, Total Commitment, Harmonious Cooperation[8]",China
Beijing University of Technology,不息为体 日新为道[9],Chinese,"Taking persistence in pursuit as the substance, taking innovation everyday as the way[10]","Taking persistence in pursuit as the substance, taking innovation everyday as the way[10]",China
Chang'an University,弘毅明德 笃学创新[11],Chinese,,,China
China Pharmaceutical University,精业济群[12],Chinese,Be proficient and benefit others[13],Be proficient and benefit others[13],China
Chongqing University,耐劳苦、尚俭朴、勤学业、爱国家[14],Chinese,"Endure Toil, Cherish Thrift, Work Hard and Love the Country[15]","Endure Toil, Cherish Thrift, Work Hard and Love the Country[15]",China
Dalian University,文明 自强 求是 创新[16],Chinese,Civilization Self-Improvement Truth-Seeking and Originality[17],Civilization Self-Improvement Truth-Seeking and Originality[17],China
Fudan University,博学而笃志，切问而近思[18],Chinese,"Rich in knowledge and tenacious of purposes, inquiring with earnestness and reflecting with self-practice[19]","Rich in knowledge and tenacious of purposes, inquiring with earnestness and reflecting with self-practice[19]",China
Harbin Institute of Technology,规格严格 功夫到家[20],Chinese,,,China
Hebei University,实事求是，笃学诚行[21],Chinese,,,China
Heilongjiang University,参天尽物 博学慎思[22],Chinese,,,China
Henan University,明德，新民，至于至善[23],Chinese,To illustrate illustrious virtue; to renovate the people; and to rest in the highest excellence[24],To illustrate illustrious virtue; to renovate the people; and to rest in the highest excellence[24],China
Hohai University,艰苦朴素，实事求是，严格要求，勇于探索[25],Chinese,,,China
Huazhong University of Science and Technology,明德厚学，求是创新[26],Chinese,"Virtue, Knowledge, Truth, Originality[27]","Virtue, Knowledge, Truth, Originality[27]",China
Hunan University,实事求是 敢为人先[28],Chinese,Seeking Truth from Facts and Daring to be Pioneers[29],Seeking Truth from Facts and Daring to be Pioneers[29],China
Jiangsu University,博学 求是 明德[30],Chinese,"Be erudite, practical and virtuous[31]","Be erudite, practical and virtuous[31]",China
Jilin University,求实创新，励志图强[32],Chinese,"Objective and innovative, determination and persistence.","Objective and innovative, determination and persistence.",China
Jinan University,忠信笃敬[33],Chinese,"Loyalty, Sincerity, Integrity and Respect[34]","Loyalty, Sincerity, Integrity and Respect[34]",China
Lanzhou University,自强不息 独树一帜[35],Chinese,"Constantly Improving, Blazing Our Own Path[36]","Constantly Improving, Blazing Our Own Path[36]",China
Nanjing University,诚朴雄伟 励学敦行[37],Chinese,"Sincerity with Aspiration, Perseverance and Integrity[38]","Sincerity with Aspiration, Perseverance and Integrity[38]",China
Nankai University,允公允能，日新月异[39],Chinese,"Dedication to Public Interests, Acquisition of All-round Capability, Aspiration for Progress with Each Passing Day[39]","Dedication to Public Interests, Acquisition of All-round Capability, Aspiration for Progress with Each Passing Day[39]",China
Ningbo University,实事求是 经世致用[40],Chinese,Truth and pragmatism,Truth and pragmatism,China
Northeastern University,自强不息，知行合一[41],Chinese,,,China
Northwest University,公诚勤朴[42],Chinese,"justice, honesty, diligence, simple[43]","justice, honesty, diligence, simple[43]",China
Ocean University of China,海纳百川，取则行远[44],Chinese,Ocean Embraces Streams All and Exploring Promises Reaching Far[45],Ocean Embraces Streams All and Exploring Promises Reaching Far[45],China
Peking University,(No official motto)[46],,,,China
Qingdao University,博学笃志，明德求真，守正出奇[47],Chinese,,,China
Renmin University of China,实事求是[48],Chinese,Seeking truth from facts[49],Seeking truth from facts[49],China
Shandong University,学无止境 气有浩然[50],Chinese,Noble in Spirit; Boundless in Knowledge[51],Noble in Spirit; Boundless in Knowledge[51],China
Shanghai International Studies University,格高志远，学贯中外[52],Chinese,"Integrity, Vision and Academic Excellence[52]","Integrity, Vision and Academic Excellence[52]",China
Shanghai Jiao Tong University,饮水思源 爱国荣校[53],Chinese,"When you drink water, never shall you forget its source; love your motherland and add credit to your Alma Mater[54]","When you drink water, never shall you forget its source; love your motherland and add credit to your Alma Mater[54]",China
Shanghai University,自强不息；先天下之忧而忧，后天下之乐而乐[55],Chinese,"The movement of heaven is full of power. Thus the superior man makes himself strong and untiring.Be concerned about the affairs of state before others, and enjoy comfort after others.[56]","The movement of heaven is full of power. Thus the superior man makes himself strong and untiring.Be concerned about the affairs of state before others, and enjoy comfort after others.[56]",China
Shanxi University,尊广道艺、登崇俊良[57],Chinese,"being industrious, strict, honest and creative[58]","being industrious, strict, honest and creative[58]",China
Sichuan Normal University,重德，博学，务实，尚美[59],Chinese,,,China
Sichuan University,海纳百川 有容乃大[60],Chinese,"Sea encompasses hundreds of rivers, willingness to accept all is virtuous Officially: The ocean is exclusive because it embraces hundreds of rivers[61]","Sea encompasses hundreds of rivers, willingness to accept all is virtuous Officially: The ocean is exclusive because it embraces hundreds of rivers[61]",China
Soochow University,养天地正气，法古今完人[62],Chinese,Unto a full-grown man[63],Unto a full-grown man[63],China
Southeast University,止于至善[64],Chinese,Strive for Perfection[65],Strive for Perfection[65],China
Sun Yat-sen University,博学、审问、慎思、明辨、笃行[66],Chinese,"Study Extensively, Enquire Accurately, Reflect Carefully, Discriminate Clearly, Practise Earnestly[67]","Study Extensively, Enquire Accurately, Reflect Carefully, Discriminate Clearly, Practise Earnestly[67]",China
Tianjin University,实事求是[68],Chinese,Seeking Truth from Facts[69],Seeking Truth from Facts[69],China
Tianjin University of Technology,重德重能、求实求新[70],Chinese,"Focusing on Morals and Capability, Pursuing Truth and Innovation[71]","Focusing on Morals and Capability, Pursuing Truth and Innovation[71]",China
Tongji University,严谨、求实、团结、创新[72],Chinese,"Discipline, Practicality, Unity and Creativity[73]","Discipline, Practicality, Unity and Creativity[73]",China
Tsinghua University,自强不息、厚德载物[74],Chinese,Self-Discipline and Social Commitment[75],Self-Discipline and Social Commitment[75],China
University of Science and Technology of China,红专并进，理实交融[76],Chinese,"Being Both Politically Sound and Professionally Competent, and Integrating Theory with Practice[77]","Being Both Politically Sound and Professionally Competent, and Integrating Theory with Practice[77]",China
Wuhan University,自强 弘毅 求是 拓新[78],Chinese,"Improve Oneself, Promote Perseverance, Seek Truth and Make Innovations[79]","Improve Oneself, Promote Perseverance, Seek Truth and Make Innovations[79]",China
Xiamen University,自强不息 止于至善[80],Chinese,"Pursue Excellence, Strive for Perfection[81]","Pursue Excellence, Strive for Perfection[81]",China
Xiangtan University,博学笃行，盛德日新[82],Chinese,"Knowledge, Action and Virtue[83]","Knowledge, Action and Virtue[83]",China
Yantai University,守信 求实 好学 力行[84],Chinese,"Be trustworthy, be down-to-earth, be fond of learning, and practice earnestly[85]","Be trustworthy, be down-to-earth, be fond of learning, and practice earnestly[85]",China
Yunnan University,自尊 致知 正义 力行[86],Chinese,,,China
Zhejiang University,求是创新[87],Chinese,Seeking the Truth and Pioneering New Trails[88],Seeking the Truth and Pioneering New Trails[88],China
Autonomous University of Bucaramanga - UNAB,Liderazgo para el futuro,Spanish,Leadership for the future,Leadership for the future,Colombia
National University of Colombia,Inter Aulas Academiæ Quære Verum,Latin,Among the halls of the academy look for the truth,Among the halls of the academy look for the truth,Colombia
Pontifical Bolivarian University,Formación integral para la transformación social y humana,Spanish,Integral education for social and human transformation,Integral education for social and human transformation,Colombia
"Pontifical Bolivarian University, Bucaramanga Campus",Excelencia con sentido humano[citation needed],Spanish,Excellence with human sense,Excellence with human sense,Colombia
University of Los Andes (Colombia),Más Allá del Deber,Spanish,Beyond Duty,Beyond Duty,Colombia
Universidad de Costa Rica,Lucem aspicio,Latin,Towards light,Towards light,Costa_Rica
Aalborg University,Viis Novis,Latin,New ways,New ways,Denmark
University of Aarhus,Solidum petit in profundis,Latin,Seek a firm footing in the depths,Seek a firm footing in the depths,Denmark
University of Copenhagen,Coelestem adspicit lucem,Latin,It looks at the celestial light,It looks at the celestial light,Denmark
Universidad de Especialidades Espíritu Santo (UEES),Non progredi regredi est,Latin,"Not going forward, is going backwards","Not going forward, is going backwards",Ecuador
University of Fiji,"Affordability, Quality, Innovation, Creativity[citation needed]",English,NA,"Affordability, Quality, Innovation, Creativity[citation needed]",Fiji
University of Art and Design Helsinki,Pro Arte Utili,Latin,For useful abilities,For useful abilities,Finland
Helsinki University of Technology,Labor et scientia,Latin,Work and science,Work and science,Finland
University of Jyväskylä,Amica veritas,Latin,Truth is a friend,Truth is a friend,Finland
Ecole Polytechnique,"Pour la Patrie, les Sciences et la Gloire",French,"For the Homeland, Science and Glory","For the Homeland, Science and Glory",France
Académie de Bordeaux,Crescam et Lucebo,Latin,I shall grow and I shall shine,I shall grow and I shall shine,France
Mines Paris,Théorie et pratique,French,Theory and practice,Theory and practice,France
University of Paris,Hic et ubique terrarum,Latin,Here and anywhere on earth,Here and anywhere on earth,France
Chavagnes Studium,In electis tuis mitte radices,Latin,Put down roots in your elect,Put down roots in your elect,France
Centrale Paris,"Leader, Entrepreneur, Innovateur",French,"Leader, Entrepreneur, Innovator","Leader, Entrepreneur, Innovator",France
RWTH Aachen University,Zukunft denken,German,Thinking the Future,Thinking the Future,Germany
Free University of Berlin,Veritas - Iustitia - Libertas,Latin,Truth - Justice - Freedom,Truth - Justice - Freedom,Germany
University of Freiburg,Die Wahrheit wird euch frei machen,German,The truth will make you free (John 8:32),The truth will make you free (John 8:32),Germany
Darmstadt University of Technology,Mens agitat molem,Latin,Mind drives matter,Mind drives matter,Germany
University of Greifswald,Wissen lockt. Seit 1456.,German,Knowledge attracts. Since 1456.,Knowledge attracts. Since 1456.,Germany
Hannover Medical School,Unitas Libertas Caritas,Latin,Unity Liberty  Charity,Unity Liberty  Charity,Germany
University of Mainz,"Ut omnes unum sint
Dass alle eins seien","Latin, German",That they all may be one (John 17:21),That they all may be one (John 17:21),Germany
Ruprecht Karl University of Heidelberg,Semper apertus,Latin,Always open,Always open,Germany
University of Hamburg,"der Forschung, der Lehre, der Bildung",German,"for research, for teaching, for education","for research, for teaching, for education",Germany
University of Kiel,Pax optima rerum,Latin,Peace is the greatest good,Peace is the greatest good,Germany
Technische Universität Dresden,Wissen schafft Brücken.,German,Knowledge builds bridges.,Knowledge builds bridges.,Germany
University of Mannheim,In Omnibus Veritas,Latin,In All the Truth,In All the Truth,Germany
Technische Universität München,"Zuhause in Bayern, erfolgreich in der Welt. Die unternehmerische Universität.",German,"At home in Bavaria, successful in the world. The entrepreneurial University.","At home in Bavaria, successful in the world. The entrepreneurial University.",Germany
University of Potsdam,Klein aber fein,German,Small but excellent,Small but excellent,Germany
University of Rostock,Traditio et Innovatio,Latin,Tradition and innovation,Tradition and innovation,Germany
University of Göttingen,In publica commoda,Latin,For the good of all,For the good of all,Germany
University of Trier,Treveris ex urbe Deus complet dona sophiae,Latin,"In the city of Trier, God completes the gifts of wisdom","In the city of Trier, God completes the gifts of wisdom",Germany
University of Tübingen,Attempto!,Latin,I dare!,I dare!,Germany
Georgian Institute of Public Affairs,In hoc signo vinces,Latin,In this sign you will conquer,In this sign you will conquer,Georgia
Free University of Tbilisi,"Scientia, Labor, Libertas",Latin,"Knowledge, Labour, Freedom","Knowledge, Labour, Freedom",Georgia
Grigol Robakidze University,Scientia Et Veritas,Latin,Knowledge and Truth,Knowledge and Truth,Georgia
University of Ghana,Integri Procedamus[89],Latin,proceed with integrity,proceed with integrity,Ghana
University of Cape Coast,Veritas Nobis Lumen[90],Latin,"Truth, Our guide.[90]","Truth, Our guide.[90]",Ghana
Kwame Nkrumah University of Science and Technology,Nyansapɔ wɔsane no badwenma[91],Twi,The knot of Wisdom is untied only by the wise[91],The knot of Wisdom is untied only by the wise[91],Ghana
"University of Education, Winneba",Education for service[citation needed],English,,Education for service[citation needed],Ghana
Zenith University College,Per Ardua Ad Astra[citation needed],Latin,"Through Adversity to the Stars - in effect, Through Hard Work to the Top","Through Adversity to the Stars - in effect, Through Hard Work to the Top",Ghana
University for Development Studies,Knowledge for Service[92],English,,Knowledge for Service[92],Ghana
University of Mines and Technology,"knowledge, truth and excellence[93]",English,,"knowledge, truth and excellence[93]",Ghana
The University of Hong Kong,Sapientia et Virtus/明徳格物[94],Latin/Classical Chinese,Wisdom and virtue[94]/To disseminate virtue and to investigate the way of things,Wisdom and virtue[94]/To disseminate virtue and to investigate the way of things,Hong_Kong
The Chinese University of Hong Kong,博文約禮[95],Classical Chinese,Through learning and temperance to virtue[95],Through learning and temperance to virtue[95],Hong_Kong
The Hong Kong University of Science and Technology,(no official motto)[96],,,,Hong_Kong
City University of Hong Kong,敬業樂群/Officium et Civitas[97],Chinese/Latin,"respect one's professional knowledge, deal with others cheerfully and harmoniously[97]","respect one's professional knowledge, deal with others cheerfully and harmoniously[97]",Hong_Kong
Hong Kong Polytechnic University,開物成務 勵學利民[98],Chinese,"To learn and to apply, for the benefit of mankind[99]","To learn and to apply, for the benefit of mankind[99]",Hong_Kong
Hong Kong Baptist University,篤信力行Light and truth[100],Classical Chinese,to have faith and proceed with perseverance[100],to have faith and proceed with perseverance[100],Hong_Kong
Lingnan University,作育英才，服務社會[101],Chinese,Education for Service[102],Education for Service[102],Hong_Kong
University of Pécs,Magyarország első egyeteme,Hungarian,The first University of Hungary.,The first University of Hungary.,Hungary
University of Szeged,Veritas. Virtus. Libertas.,Latin,Truth. Courage. Freedom.,Truth. Courage. Freedom.,Hungary
Eötvös Loránd University,A tudás közössége,Hungarian,The community of knowledge.,The community of knowledge.,Hungary
Corvinus University,Scientia mea - adiutor meus,Latin,My knowledge is my helper.,My knowledge is my helper.,Hungary
Ranchi University,"May nostrum scientia fio splendens/
तेजस्वि नावधीतमस्तु","Latin/
Sanskrit",May our knowledge become brilliant,May our knowledge become brilliant,India
Indian Institute of Technology Madras,सिद्धिर्भवति कर्मजा siddhirbhavati karmaja,Sanskrit,Effort Yields Success,Effort Yields Success,India
Indian Institute of Technology Kharagpur,योगः कर्मसु कौशलम्,Sanskrit,Excellence in work is (true) yoga,Excellence in work is (true) yoga,India
Indian Institute of Technology Kanpur,तमसो मा ज्योतिर्गमय (tamaso mā jyotirgamaya),Sanskrit,Lead me from darkness to light,Lead me from darkness to light,India
Indian Institute of Technology Guwahati,Knowledge Is Power,Sanskrit,Knowledge Is Power,Knowledge Is Power,India
Indian Institute of Technology Bombay,ज्ञानं परमं ध्येयम्(jñānaṁ paramaṁ dhyeyam),Sanskrit,Knowledge is the Supreme Goal,Knowledge is the Supreme Goal,India
Indian Institute of Technology Roorkee,śramam vinā na kimapi sādhyam / श्रमम् विना न किमपि साध्यम् / shramam vinA na kimapi sAdhyam,Sanskrit,without effort nothing is possible,without effort nothing is possible,India
Indian Institute of Management Ahmedabad,vidyā viniyogāt vikāsaḥ / विद्या विनियोगात् विकासः / vidyA viniyogAt vikAsaH,Sanskrit,progress comes from proper application of knowledge,progress comes from proper application of knowledge,India
